,NAME,ADDRESS,CITY,STATE,ZIP,LEVEL,ENROLLMENT,START_GRADE,END_GRADE,DISTRICT_ID
984,TRITON ELEMENTARY SCHOOL,200 TRITON DR,BOURBON,IN,46504,1,474,KG,06,1811490
985,COLUMBIA MIDDLE SCHOOL,1300 N 3RD ST,LOGANSPORT,IN,46947,2,426,06,08,1806030
986,THE EXCEL CENTER - LAFAYETTE SQ,600 W 34TH ST,INDIANAPLOIS,IN,46224,3,390,09,12,1800138
987,PINE ELEMENTARY SCHOOL,1660 CO LINE RD,MICHIGAN CITY,IN,46360,1,488,PK,06,1806570
988,WEA RIDGE MIDDLE SCHOOL,4410 S 150 E,LAFAYETTE,IN,47909,2,625,06,08,1811340
989,PLEASANT LAKE ELEM SCH,1205 W MAIN ST,PLEASANT LAKE,IN,46779,1,220,KG,05,1811100
990,ROGERS ELEMENTARY SCHOOL,2200 E 2ND ST,BLOOMINGTON,IN,47401,1,369,KG,02,1800630
991,EAST WASHINGTON MIDDLE SCH,1100 N EASTERN SCHOOL RD E-5,PEKIN,IN,47165,2,493,05,08,1803000
992,GUION CREEK ELEMENTARY SCHOOL,4301 W 52ND ST,INDIANAPOLIS,IN,46254,1,735,KG,05,1808910
993,DELTA MIDDLE SCHOOL,9800 N CR 200 E,MUNCIE,IN,47303,2,649,06,09,1802660
994,WES-DEL ELEMENTARY SCHOOL,500 JACKSON ST,GASTON,IN,47342,1,352,KG,05,1804500
995,MAXWELL INTERMEDIATE SCHOOL,102 N MAIN ST,MAXWELL,IN,46154,2,509,04,06,1804050
996,AVONDALE MEADOWS ACADEMY,3980 MEADOWS DR,INDIANAPOLIS,IN,46205,1,482,KG,05,1800057
997,MILROY ELEMENTARY SCHOOL,215 N PLEASANT ST,MILROY,IN,46156,1,223,KG,06,1809750
998,WEST CENTRAL ELEM SCH,1842 S US 421,FRANCESVILLE,IN,47946,1,368,KG,05,1809360
999,COUNTRY MEADOW ELEM SCHOOL,2410 CR 10,ASHLEY,IN,46705,1,238,KG,05,1801590
1000,DELPHI COMMUNITY MIDDLE SCH,401 ARMORY RD,DELPHI,IN,46923,2,322,06,08,1802700
1001,COLONEL JOHN WHEELER MIDDLE SCHL,401 W JOLIET ST,CROWN POINT,IN,46307,2,930,06,08,1802490
1002,CLARK COUNTY MIDDLE/HIGH SCHOOL,2710 E 10TH ST,JEFFERSONVILLE,IN,47130,3,105,07,12,1803940
1003,TIPPECANOE VALLEY MIDDLE SCH,11303 W 800 S,ARKON,IN,46910,2,460,06,08,1811370
1004,FLINT LAKE ELEMENTARY SCH,4106 N CALUMET AVE,VALPARAISO,IN,46383,1,538,KG,05,1811970
1005,MABEL K HOLLAND ELEM SCH,7000 RED HAW DR,FORT WAYNE,IN,46825,1,538,PK,05,1803630
1006,LINCOLN ELEMENTARY SCHOOL,2014 'F' ST,BEDFORD,IN,47421,1,310,KG,05,1807860
1007,EXCEL CENTER FOR ADULT LEARNERS,1635 W MICHIGAN ST,INDIANAPOLIS,IN,46205,3,1348,09,12,1800093
1008,THOMPKINS MIDDLE SCHOOL,1300 W MILL RD,EVANSVILLE,IN,47710,2,702,06,08,1803450
1009,BARR REEVE PRIMARY GRADE SCH,298 N 3RD ST,MONTGOMERY,IN,47558,1,165,KG,01,1800330
1010,CARL WILDE SCHOOL 79,5002 W 34TH ST,INDIANAPOLIS,IN,46224,1,734,KG,06,1804770
1011,JONATHAN JENNINGS SCHOOL 109,6150 GATEWAY DR,INDIANAPOLIS,IN,46254,1,290,KG,06,1804770
1012,CASTON JR-SR HIGH SCH,SR 25 S,FULTON,IN,46931,3,395,07,12,1801410
1013,VAN BUREN ELEMENTARY SCHOOL,4045 S SR 135,NASHVILLE,IN,47448,1,250,PK,04,1800960
1014,JENNINGS COUNTY MIDDLE SCHOOL,820 W WALNUT,NORTH VERNON,IN,47265,2,704,07,08,1805190
1015,CHANDLER ELEMENTARY SCHOOL,401 S JAYCEE ST,CHANDLER,IN,47610,1,517,KG,05,1812390
1016,LAKEVIEW ELEMENTARY SCHOOL,9090 S STRAIN RIDGE,BLOOMINGTON,IN,47401,1,494,PK,06,1800630
1017,SHELBYVILLE MIDDLE SCHOOL,1200 W MCKAY RD,SHELBYVILLE,IN,46176,2,926,06,08,1810140
1018,DELAWARE TRAIL ELEMENTARY SCHOOL,3680 S HORNADAY RD,BROWNSBURG,IN,46112,1,610,KG,05,1801020
1019,SOUTH VERMILLION HIGH SCHOOL,770 W WILDCAT DR,CLINTON,IN,47842,3,523,09,12,1810590
1020,WESTERN MIDDLE SCHOOL,2600 S 600 W,RUSSIAVILLE,IN,46979,2,618,06,08,1804470
1021,CRESTON INTERMEDIATE ACADEMY,10925 E PROSPECT ST,INDIANAPOLIS,IN,46239,2,593,05,06,1812360
1022,WESTLAKE ELEMENTARY SCHOOL,271 N SIGSBEE ST,INDIANAPOLIS,IN,46214,1,776,KG,06,1812810
1023,DEMING ELEMENTARY SCHOOL,1750 8TH AVE,TERRE HAUTE,IN,47804,1,314,PK,05,1812090
1024,COLUMBUS NORTH HIGH SCHOOL,1400 25TH ST,COLUMBUS,IN,47201,3,2044,09,12,1800360
1025,NEW AUGUSTA PUB ACA-SOUTH,6250 RODEBAUGH RD,INDIANAPOLIS,IN,46268,1,530,KG,05,1808910
1026,HAPPY HOLLOW ELEMENTARY,1200 N SALISBURY,WEST LAFAYETTE,IN,47906,2,509,04,06,1812870
1027,NORTH JUDSON-SAN PIERRE MDL SCH,950 CAMPBELL DR,NORTH JUDSON,IN,46366,2,291,06,08,1807800
1028,CHLDRN'S ACAD NEW ALBANY EARLY LRN,1111 PEARL ST,NEW ALBANY,IN,47150,1,87,PK,PK,1807410
1029,EASTVIEW ELEMENTARY SCHOOL,401 S FOUNTAIN ST,CONNERSVILLE,IN,47331,1,338,PK,06,1803510
1030,NORTH PUTNAM MIDDLE SCH,8905 N CR 250 E,ROACHDALE,IN,46172,2,358,06,08,1807980
1031,WM A WIRT/EMERSON VPA,210 N GRAND BLVD,GARY,IN,46403,4,595,05,12,1803870
1032,INSPIRE ACADEMY - A SCH OF INQUIRY,1600 S MADISON ST,MUNCIE,IN,47302,1,169,KG,06,1800123
1033,MUNSTER HIGH SCHOOL,8808 COLUMBIA AVE,MUNSTER,IN,46321,3,1522,09,12,1807350
1034,HAMMOND ACADEMY OF SCIENCE & TECH,33 MUENICH CT,HAMMOND,IN,46320,4,539,06,12,1800082
1035,PARKVIEW ELEMENTARY SCHOOL,1405 WOOD ST,VALPARAISO,IN,46383,1,251,KG,05,1811970
1036,CHARLES L SMITH ELEM SCHOOL,1359 E COLUMBUS ST,MARTINSVILLE,IN,46151,1,327,PK,05,1806510
1037,NEW MIDDLETOWN ELEMENTARY SCHOOL,2460 NEW MIDDLETOWN RD SE,NEW MIDDLETOWN,IN,47160,1,152,PK,06,1810360
1038,IN MATH & SCIENCE ACAD NORTH,7435 N KEYSTONE AVE,INDIANAPOLIS,IN,46240,4,760,KG,12,1800094
1039,HEBRON ELEMENTARY SCHOOL,4400 BELLEMEADE AVE,EVANSVILLE,IN,47714,1,854,KG,05,1803450
1040,SOUTHPORT HIGH SCHOOL,971 E BANTA RD,INDIANAPOLIS,IN,46227,3,2102,09,12,1808820
1041,NORTHSIDE MIDDLE SCHOOL,1400 27TH ST,COLUMBUS,IN,47201,2,855,07,08,1800360
1042,HARRISON ELEMENTARY SCHOOL,1300 HUSKY TRL,WARSAW,IN,46582,1,575,KG,06,1812420
1043,EASTWOOD MIDDLE SCHOOL,4401 E 62ND ST,INDIANAPOLIS,IN,46220,2,835,06,08,1812720
1044,GLENWOOD LEADERSHIP ACADEMY,901 SWEETSER AVE,EVANSVILLE,IN,47713,1,404,KG,08,1803450
1045,SOUTH KNOX ELEMENTARY SCHOOL,6078 E SR 61,VINCENNES,IN,47591,1,682,KG,06,1810410
1046,CENTER GROVE MIDDLE SCHL CENTRAL,4900 STONES CROSSING,GREENWOOD,IN,46143,2,979,06,08,1801440
1047,BAILLY PREPARATORY ACADEMY,4621 GEORGIA ST,GARY,IN,46409,1,371,KG,06,1803870
1048,THOMAS JEFFERSON ELEM SCH,6940 NORTHCOTE AVE,HAMMOND,IN,46324,1,415,PK,05,1804320
1049,ALEXANDER HAMILTON ELEMENTARY SCH,2900 LAKE ST,LAKE STATION,IN,46405,1,247,01,06,1802910
1050,FISHBACK CREEK PUBLIC ACA,8301 W 86TH ST,INDIANAPOLIS,IN,46278,1,571,PK,05,1808910
1051,PLEASANT RUN ELEMENTARY SCH,1800 N FRANKLIN RD,INDIANAPOLIS,IN,46219,1,535,KG,04,1812360
1052,BEN DAVIS NINTH GRADE CENTER,1150 N GIRLS SCHOOL RD,INDIANAPOLIS,IN,46214,4,1154,09,09,1812810
1053,PHALEN LDRSHP ACAD - IN INC,2323 N ILLINOIS ST,INDIANAPOLIS,IN,46208,1,294,KG,03,1800124
1054,NORWELL MIDDLE SCHOOL,1100 E US 224,OSSIAN,IN,46777,2,564,06,08,1808220
1055,WASHINGTON CENTER ELEM SCH,1936 W WALLEN RD,FORT WAYNE,IN,46818,1,484,PK,05,1803630
1056,IRELAND ELEMENTARY SCHOOL,2386 N 500 W,IRELAND,IN,47545,1,537,PK,05,1803960
1057,GEORGE M RIDDLE ELEM SCHOOL,302 BARKMAN ST,ROCHESTER,IN,46975,1,466,03,05,1809630
1058,CULVER FAMILY LEARNING CENTER,1301 JUDSON ST,EVANSVILLE,IN,47713,1,139,PK,PK,1803450
1059,ALLISONVILLE ELEMENTARY SCH,4900 E 79TH ST,INDIANAPOLIS,IN,46240,1,772,01,05,1812720
1060,SHERIDAN MIDDLE SCHOOL,3030 W 246TH ST,SHERIDAN,IN,46069,2,251,06,08,1806480
1061,NOBLE CROSSING ELEMENTARY SCHOOL,5670 NOBLE CROSSING PKY,NOBLESVILLE,IN,46062,1,667,PK,05,1807650
1062,ROBERT LEE FROST SCHOOL 106,5301 ROXBURY RD,INDIANAPOLIS,IN,46226,1,350,KG,08,1804770
1063,WEBB ELEMENTARY SCHOOL,1400 WEBB CT,FRANKLIN,IN,46131,1,304,KG,04,1803690
1064,WILSON PRIMARY CENTER,56660 OAK RD,SOUTH BEND,IN,46619,1,441,KG,04,1810290
1065,SUNNY HEIGHTS ELEMENTARY SCH,11149 STONYBROOK DR,INDIANAPOLIS,IN,46229,1,475,KG,04,1812360
1066,FRANKTON JR-SR HIGH SCH,610 CLYDE ST,FRANKTON,IN,46044,3,674,07,12,1812880
1067,BROOK PARK ELEMENTARY SCHOOL,5259 N DAVID ST,INDIANAPOLIS,IN,46226,1,650,01,06,1805670
1068,FORT BRANCH COMMUNITY SCHOOL,7670 S EASTVIEW LN,FORT BRANCH,IN,47648,1,475,KG,08,1810350
1069,THOMAS D GREGG SCHOOL 15,2302 E MICHIGAN ST,INDIANAPOLIS,IN,46201,1,640,PK,06,1804770
1070,PADUA ACADEMY,349 N WARMAN AVE,INDIANAPOLIS,IN,46222,1,246,KG,08,1800096
1071,BRIGHT ELEMENTARY SCH,22593 STATE LINE RD,LAWRENCEBURG,IN,47025,1,434,KG,04,1811190
1072,FRANKE PARK ELEMENTARY SCHOOL,828 MILDRED AVE,FORT WAYNE,IN,46808,1,562,PK,05,1803630
1073,PENNVILLE ELEMENTARY SCHOOL,390 W PLEASANT ST,PENNVILLE,IN,47369,1,87,KG,05,1804980
1074,PRAIRIE CROSSING ELEMENTARY SCH,2758 S 400 E,OXFORD,IN,47971,1,501,KG,06,1800480
1075,SOUTH PUTNAM HIGH SCHOOL,1780 E US HWY 40,GREENCASTLE,IN,46135,3,367,09,12,1810500
1076,VAN DUYN ELEMENTARY SCHOOL,15095 S RANGE LINE RD,CLINTON,IN,47842,1,226,PK,05,1810590
1077,CORYDON CENTRAL HIGH SCHOOL,375 COUNTRY CLUB RD,CORYDON,IN,47112,3,717,09,12,1810360
1078,KINGSBURY ELEMENTARY SCHOOL,0802 W 400 S,LAPORTE,IN,46350,1,437,PK,05,1805580
1079,LINCOLN MIDDLE SCHOOL,5353 W 71ST ST,INDIANAPOLIS,IN,46268,2,789,06,08,1808910
1080,WASHINGTON HIGH SCHOOL,4747 W WASHINGTON AVE,SOUTH BEND,IN,46619,3,1001,09,12,1810290
1081,LAPEL MIDDLE SCHOOL,2883 S SR 13,LAPEL,IN,46051,2,328,06,08,1812880
1082,MCCUTCHEON HIGH SCHOOL,4951 US 231 S,LAFAYETTE,IN,47909,3,1702,09,12,1811340
1083,HAROLD C UREY MIDDLE SCHOOL,407 WASHINGTON ST,WALKERTON,IN,46574,2,256,07,08,1809120
1084,GALVESTON ELEMENTARY SCHOOL,401 S MAPLE ST,GALVESTON,IN,46932,2,294,04,06,1810680
1085,NORTH WHITE INTERMEDIATE,305 E BROADWAY,MONON,IN,47959,2,173,04,06,1808130
1086,WALDRON ELEMENTARY SCHOOL,306 S EAST ST,WALDRON,IN,46182,1,308,PK,05,1803210
1087,ANDREWS ELEMENTARY SCHOOL,509 E JEFFERSON ST,ANDREWS,IN,46702,1,365,KG,05,1804710
1088,NAVARRE INTERMEDIATE CENTER,4702 W FORD ST,SOUTH BEND,IN,46619,2,595,05,08,1810290
1089,NAPPANEE ELEMENTARY SCHOOL,755 E VAN BUREN ST,NAPPANEE,IN,46550,1,397,KG,05,1812240
1090,SEYMOUR MIDDLE SCHOOL,920 N O'BRIEN ST,SEYMOUR,IN,47274,2,1078,06,08,1810080
1091,MEREDITH NICHOLSON ELEM SCH,1010 LANE AVE,CRAWFORDSVILLE,IN,47933,1,361,02,03,1802460
1092,SUGAR CREEK ELEM SCH,4702 E 300 N,CRAWFORDSVILLE,IN,47933,1,281,KG,05,1807900
1093,WEA RIDGE ELEMENTARY SCHOOL,1333 E 430 S,LAFAYETTE,IN,47909,1,650,KG,05,1811340
1094,FREMONT MIDDLE SCHOOL,811 W RENEE DR,FREMONT,IN,46737,2,283,05,08,1803780
1095,VEALE ELEMENTARY SCHOOL,326 E 450 S,WASHINGTON,IN,47501,1,170,KG,06,1812450
1096,NORTH VERMILLION HIGH SCHOOL,5555 N FALCON DR,CAYUGA,IN,47928,3,360,07,12,1808070
1097,JOHN S IRWIN ELEMENTARY SCH,3501 S ANTHONY BLVD,FORT WAYNE,IN,46806,1,301,KG,05,1803630
1098,MORAN ELEMENTARY SCHOOL,305 N BEECH RD,OSCEOLA,IN,46561,1,446,KG,05,1808760
1099,PAUL HARDING JR HIGH SCHOOL,6501 WAYNE TRACE,FT WAYNE,IN,46816,2,289,07,08,1802850
1100,EASTRIDGE ELEMENTARY SCHOOL,10930 E 10TH ST,INDIANAPOLIS,IN,46229,1,465,KG,04,1812360
1101,JACKSON TOWNSHIP ELEM SCHOOL,1860 E CR 600 N,BRAZIL,IN,47834,1,299,KG,05,1800840
1102,GIBSON SOUTHERN HIGH SCHOOL,3499 W 800 S,FORT BRANCH,IN,47648,3,677,09,12,1810350
1103,GRAHAM CREEK ELEMENTARY SCHOOL,7910 S CR 90 W,COMMISKEY,IN,47227,1,288,KG,06,1805190
1104,WASHINGTON IRVING ELEM SCH,4727 PINE AVE,HAMMOND,IN,46327,1,607,PK,05,1804320
1105,SPRINGS VALLEY ELEM SCH,356 S LARRY BIRD BLVD,FRENCH LICK,IN,47432,1,407,KG,05,1810980
1106,LAUREL SCHOOL,13246 SR 121 -   322,LAUREL,IN,47024,1,459,PK,08,1803700
1107,METRO NORTH ELEMENTARY SCHOOL,3844 W 200 N,WABASH,IN,46992,1,340,KG,03,1812180
1108,MADISON ELEMENTARY SCHOOL,66030 DOGWOOD RD,WAKARUSA,IN,46573,1,139,KG,05,1808760
1109,COVINGTON ELEMENTARY SCHOOL,1110 7TH ST,COVINGTON,IN,47932,1,474,PK,05,1802430
1110,EMINENCE ELEMENTARY SCHOOL,6760 N SR 42,EMINENCE,IN,46125,1,149,KG,05,1803330
1111,GREENFIELD CENTRAL JUNIOR HIGH SCH,1440 N FRANKLIN,GREENFIELD,IN,46140,2,717,07,08,1804050
1112,SHARP CREEK ELEMENTARY SCHOOL,264 W 200 N,WABASH,IN,46992,1,253,KG,06,1812180
1113,PRINCE CHAPMAN ACADEMY,4808 E PAULDING RD,FORT WAYNE,IN,46816,1,574,03,06,1802850
1114,TIPTON HIGH SCHOOL,619 S MAIN ST,TIPTON,IN,46072,3,555,09,12,1811400
1115,JASPER MIDDLE SCHOOL,3600 PORTERSVILLE RD,JASPER,IN,47546,2,796,06,08,1803960
1116,CARLISLE ELEM AND JUNIOR HIGH,204 W EATON ST,CARLISLE,IN,47838,1,286,PK,08,1810860
1117,JOHN MARSHALL COMMUNITY HIGH SCH,10101 E 38TH ST,INDIANAPOLIS,IN,46236,3,595,09,12,1804770
1118,MARION HIGH SCHOOL,750 W 26TH ST,MARION,IN,46953,3,1029,09,12,1806390
1119,FRANCIS JOSEPH REITZ HIGH SCH,350 DREIER BLVD,EVANSVILLE,IN,47712,3,1293,09,12,1803450
1120,BELZER MIDDLE SCHOOL,7555 E 56TH ST,INDIANAPOLIS,IN,46226,2,1159,07,08,1805670
1121,CLAY CITY JR-SR HIGH SCHOOL,601 LANKFORD ST,CLAY CITY,IN,47841,3,363,07,12,1800840
1122,WOODLAND ELEMENTARY SCHOOL,3200 E 450 S,LAFAYETTE,IN,47909,1,578,KG,05,1811340
1123,EASTERN GREENE MIDDLE SCHOOL,10503 E ST RD 54,BLOOMFIELD,IN,47424,2,411,05,08,1803090
1124,DR BERNARD C WATSON ACAD FOR BOYS,2065 MISSISSIPPI ST,GARY,IN,46407,1,137,KG,06,1803870
1125,BEACON ACADEMY,620 CUMBERLAND AVE,WEST LAFAYETTE,IN,47906,3,27,08,12,1800075
1126,JACQUES MARQUETTE ELEM SCHOOL,6401 HEMLOCK AVE,GARY,IN,46403,1,576,KG,06,1803870
1127,HARPER ELEMENTARY SCHOOL,21 S ALVORD BLVD,EVANSVILLE,IN,47714,1,421,KG,05,1803450
1128,HARRIS ELEMENTARY SCHOOL,200 W PARK AVE,GREENFIELD,IN,46140,1,350,KG,03,1804050
1129,EDGEWOOD PRIMARY SCHOOL,7700 W REEVES RD,BLOOMINGTON,IN,47404,1,595,KG,02,1809480
1130,TRI-NORTH MIDDLE SCHOOL,1000 W 15TH ST,BLOOMINGTON,IN,47404,2,535,07,08,1800630
1131,RIVER VALLEY MIDDLE SCHOOL,2220 VETERANS PKY,JEFFERSONVILLE,IN,47130,2,855,06,08,1803940
1132,THE EXCEL CENTER - LAFAYETTE,615 N 18TH ST 2ND FLOOR,LAFAYETTE,IN,47904,3,287,09,12,1800142
1133,CALUMET HIGH SCHOOL,3900 CALHOUN ST,GARY,IN,46408,3,663,09,12,1805460
1134,NEWBY MEMORIAL ELEM SCH,240 N MONROE ST,MOORESVILLE,IN,46158,1,324,KG,06,1807140
1135,NORTH DAVIESS JR-SR HIGH SCH,5494 E SR 58,ELNORA,IN,47529,3,487,07,12,1807710
1136,MEADOWVIEW ELEMENTARY SCH,7950 W 050 S,SHIPSHEWANA,IN,46565,1,388,KG,05,1813110
1137,WEST NOBLE PRIMARY SCHOOL,500 W UNION ST,LIGONIER,IN,46767,1,439,PK,01,1812900
1138,BURRIS LABORATORY SCHOOL,2000 UNIVERSITY AVE,MUNCIE,IN,47306,4,621,KG,12,1800038
1139,PAUL SAYLOR ELEMENTARY SCHOOL,331 MIDWAY,VALPARAISO,IN,46383,1,344,KG,05,1809150
1140,SOUTHVIEW PRESCHOOL CENTER,4500 MAIN ST,ANDERSON,IN,46013,1,313,PK,PK,1800150
1141,O J NEIGHBOURS ELEM SCH,1545 N WABASH ST,WABASH,IN,46992,1,616,PK,04,1812150
1142,LIBERTY ELEMENTARY SCHOOL,130 N LIBERTY ST,HOBART,IN,46342,1,396,KG,05,1804590
1143,HARNEY ELEMENTARY SCHOOL,1500 N GARFIELD ST,LEBANON,IN,46052,1,539,KG,05,1805790
1144,PAUL F BOSTON MIDDLE SCHOOL,1000 HARRISON ST,LAPORTE,IN,46350,2,669,06,08,1805580
1145,CRESTVIEW MIDDLE SCHOOL,1151 W 500 N,HUNTINGTON,IN,46750,2,564,06,08,1804710
1146,ZIONSVILLE PLEASANT VIEW ELEM SCH,4700 S 975 E,ZIONSVILLE,IN,46077,1,814,PK,04,1802830
1147,SOUTH BEND NEW TECH HS,1902 S FELLOWS ST,SOUTH BEND,IN,46613,3,135,09,12,1810290
1148,OLIVE TOWNSHIP ELEM SCH,300 W BEN ST,NEW CARLISLE,IN,46552,1,508,PK,05,1807560
1149,GLEN PARK ACAD FOR EXCEL IN LRN,5002 MADISON ST,GARY,IN,46408,1,790,KG,06,1803870
1150,KLONDIKE MIDDLE SCHOOL,3307 KLONDIKE RD,WEST LAFAYETTE,IN,47906,2,455,06,08,1811340
1151,IMAGINE IND LIFE SCIENCE WEST,4950 W 34TH ST,INDIANAPOLIS,IN,46224,1,589,KG,08,1800084
1152,BROWNSBURG EARLY CHILDHOOD CENTER,111 EASTERN AVE,BROWNSBURG,IN,46112,1,195,PK,PK,1801020
1153,RENSSELAER CENTRAL PRIMARY SCHOOL,1144 N MELVILLE ST,RENSSELAER,IN,47978,1,414,PK,05,1809420
1154,NORTHAVEN ELEMENTARY SCHOOL,1907 OAK RIDGE DR,JEFFERSONVILLE,IN,47130,1,446,KG,05,1803940
1155,MEADOW'S EDGE ELEMENTARY SCH,16333 KERN RD,MISHAWAKA,IN,46544,1,350,KG,05,1808760
1156,TERRE TOWN ELEMENTARY SCHOOL,2121 BOSTON AVE,TERRE HAUTE,IN,47805,1,695,PK,05,1812090
1157,EDGEWOOD ELEMENTARY SCHOOL,502 BOYD CIR,MICHIGAN CITY,IN,46360,1,248,KG,06,1806570
1158,SHARON ELEMENTARY SCHOOL,7300 SHARON RD,NEWBURGH,IN,47630,1,726,KG,05,1812390
1159,FAYETTE ELEMENTARY SCHOOL,9400 N BEECH PL,WEST TERRE HAUTE,IN,47885,1,201,KG,05,1812090
1160,EARLY CHILDHOOD CENTER,560 S 900 E,MARION,IN,46953,1,24,PK,PK,1803030
1161,LAVILLE ELEMENTARY SCHOOL,12645 TYLER RD,LAKEVILLE,IN,46536,1,572,KG,06,1811910
1162,REAGAN ELEMENTARY,4845 BULLDOG WAY,BROWNSBURG,IN,46112,1,616,KG,05,1801020
1163,WHITELAND ELEMENTARY SCHOOL,120 CENTER ST,WHITELAND,IN,46184,1,430,PK,04,1801890
1164,NORTH DECATUR JR-SR HIGH SCH,3172 N SR 3,GREENSBURG,IN,47240,3,567,07,12,1802610
1165,MAPLE CREST MIDDLE SCH,2727 S WASHINGTON,KOKOMO,IN,46902,2,544,06,08,1805370
1166,CENTRAL ELEMENTARY SCHOOL,7001 ZIONSVILLE RD,INDIANAPOLIS,IN,46268,1,725,KG,05,1808910
1167,CULVER COMMUNITY MIDDLE SCH,1 CAVALIER DR,CULVER,IN,46511,2,143,07,08,1802520
1168,NEW MARKET ELEMENTARY SCHOOL,N THIRD ST,NEW MARKET,IN,47965,1,487,KG,06,1810450
1169,ARLINGTON ELEMENTARY SCHOOL,5814 S ARLINGTON AVE,INDIANAPOLIS,IN,46237,1,597,KG,05,1803750
1170,TAYLORSVILLE ELEM SCHOOL,9711 WALNUT ST,TAYLORSVILLE,IN,47280,1,612,PK,06,1800360
1171,FORTVILLE ELEMENTARY SCHOOL,8414 N 200 W,FORTVILLE,IN,46040,1,438,KG,05,1807260
1172,MERRILLVILLE HIGH SCH,276 E 68TH PL,MERRILLVILLE,IN,46410,3,2228,09,12,1809690
1173,WEST TERRACE ELEMENTARY SCH,8000 W TERRACE DR,EVANSVILLE,IN,47712,1,654,KG,05,1803450
1174,UNION TOWNSHIP MIDDLE SCH,599 W 300 N,VALPARAISO,IN,46385,2,396,06,08,1811700
1175,CARROLL MIDDLE SCHOOL,4027 HATHAWAY RD,FORT WAYNE,IN,46818,2,978,06,08,1808250
1176,KAHLER MIDDLE SCHOOL,600 JOLIET ST,DYER,IN,46311,2,1026,05,08,1805450
1177,UNIVERSITY ELEMENTARY SCHOOL,1111 N RUSSELL RD,BLOOMINGTON,IN,47408,1,578,PK,06,1800630
1178,SCOTTSBURG MIDDLE SCHOOL,425 S 3RD ST,SCOTTSBURG,IN,47170,2,594,06,08,1810020
1179,CLARENCE FARRINGTON SCHOOL 61,4326 PATRICIA ST,INDIANAPOLIS,IN,46222,1,567,KG,06,1804770
1180,HOMECROFT ELEMENTARY SCHOOL,1551 E SOUTHVIEW DR,INDIANAPOLIS,IN,46227,1,506,KG,05,1808820
1181,DELAWARE ELEMENTARY SCHOOL,700 N GARVIN ST,EVANSVILLE,IN,47711,1,533,KG,06,1803450
1182,CLOVERDALE ELEMENTARY SCHOOL,311 E LOGAN,CLOVERDALE,IN,46120,1,450,PK,04,1802220
1183,MADISON CONSOLIDATED HIGH SCH,743 CLIFTY DR,MADISON,IN,47250,3,1008,09,12,1806120
1184,FRANCIS SCOTT KEY SCHOOL 103,3920 BAKER DR,INDIANAPOLIS,IN,46236,1,341,PK,06,1804770
1185,MARY ADAMS ELEM SCH,7341 E STOP 11 RD,INDIANAPOLIS,IN,46259,1,514,KG,05,1803750
1186,BRUSH CREEK ELEMENTARY SCHOOL,4275 E US HWY 50,NORTH VERNON,IN,47265,1,333,KG,06,1805190
1187,PINE TREE ELEMENTARY SCHOOL,7866 E CR 100 S,AVON,IN,46123,1,382,KG,04,1800270
1188,BEECH GROVE MIDDLE SCHOOL,1248 BUFFALO ST,BEECH GROVE,IN,46107,2,481,07,08,1800450
1189,NORTH ELEMENTARY SCHOOL,63 W FLETCHALL AVE,POSEYVILLE,IN,47633,1,403,KG,06,1807950
1190,RILEY ELEMENTARY SCHOOL,516 WELLER AVE,LAPORTE,IN,46350,1,406,PK,05,1805580
1191,MACONAQUAH MIDDLE SCHOOL,594 E 800 S,BUNKER HILL,IN,46914,2,509,06,08,1806090
1192,BOSWELL ELEMENTARY SCHOOL,414 W MAIN ST,BOSWELL,IN,47921,1,148,KG,06,1800480
1193,HERRON HIGH SCHOOL,110 E 16TH ST,INDIANAPOLIS,IN,46202,3,741,09,12,1800058
1194,BENJAMIN FRANKLIN ELEM SCHOOL,2600 WABASH AVE,VINCENNES,IN,47591,1,467,KG,05,1812120
1195,DUBOIS MIDDLE SCHOOL,4550 N FOURTH ST,DUBOIS,IN,47527,2,283,05,08,1808120
1196,BLAIR POINTE UPPER ELEMENTARY,300 BLAIR PIKE,PERU,IN,46970,1,661,KG,06,1808850
1197,CONCORD JUNIOR HIGH SCHOOL,59397 CR 11 S,ELKHART,IN,46517,4,833,06,12,1802400
1198,BATTELL ELEMENTARY SCHOOL,715 E BROADWAY,MISHAWAKA,IN,46545,1,241,KG,06,1806840
1199,RANDOLPH SOUTHERN ELEM SCH,3 REBEL DR,LYNN,IN,47355,1,242,KG,06,1810740
1200,GREENVILLE ELEMENTARY SCHOOL,7025 CROSS ST,GREENVILLE,IN,47124,1,405,KG,04,1807410
1201,GEORGE WASHINGTON COMM JR HS,2215 W WASHINGTON ST,INDIANAPOLIS,IN,46222,2,578,07,08,1804770
1202,WEST NOBLE MIDDLE SCHOOL,5194 N US 33,LIGONIER,IN,46767,2,753,05,08,1812900
1203,WHITING MIDDLE SCHOOL,1800 NEW YORK AVE,WHITING,IN,46394,2,271,06,08,1813200
1204,HELFRICH PARK STEM ACADEMY,2603 W MARYLAND ST,EVANSVILLE,IN,47712,2,568,06,08,1803450
1205,MADISON-GRANT JR HIGH SCH,11640 S/E 00 W,FAIRMOUNT,IN,46928,2,205,07,08,1806240
1206,WESTVIEW ELEMENTARY SCHOOL,1715 S 600 W,TOPEKA,IN,46571,2,395,05,06,1813110
1207,SOUTHWOOD JR-SR HIGH SCHOOL,564 E SR 124,WABASH,IN,46992,3,516,07,12,1812180
